Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://www.ericgrill.com/blog/developer-essentials-monorepo-guide,My Monorepo Builds Took 47 Minutes. Then I Discovered Developer-Essentials. | Eric Grill,59,0.03813158186098023,n/a,1,200,0.056,0,1,1,1,0,Canonical to other page,0,3,7,9,0,-,-,11,163,2,"a confession about build times, wasted coffee breaks, and the claude code plugins that finally made me understand my own dependency graph—and document it properly. (draft)",
https://www.ericgrill.com/blog/lightning-encrypted-message-queue,Building a Secure Message Queue on Bitcoin Lightning with Claude Code | Eric Grill,71,0.0401189659795133,n/a,1,200,0.078,0,1,1,1,0,Canonical to other page,0,5,10,9,0,-,-,11,163,3,"how i used claude code's brainstorming agent and custom skills to build an encrypted message queue on lightning network. messages anyone can see, but only the recipient can read.",
https://www.ericgrill.com/blog/superpowers-brainstorming-guide,"Stop Coding, Start Thinking: How Claude Code's Brainstorming Superpower Saved Me From Myself | Eric Grill",65,0.038215090892913625,n/a,1,200,0.065,0,1,1,1,0,Canonical to other page,0,3,7,8,0,-,-,11,163,2,confessions of a developer who launches features first and plans never. how the superpowers plugin's brainstorming skill finally got me to think before i code. (draft),
https://www.ericgrill.com/blog?topic=ai,Field Notes | Eric Grill,18,0.022688746918916206,n/a,2,200,0.074,0,0,1,1,0,Canonical to other page,0,6,5,4,0,-,-,12,165,4,"live experiments in code, security, automation, and performance. dispatches from someone building inside high-pressure systems.",
https://www.ericgrill.com/blog?topic=aviation,Field Notes | Eric Grill,6,0.017130324173398374,n/a,2,200,0.014,0,0,1,1,0,Canonical to other page,0,1,5,4,0,-,-,12,165,5,"live experiments in code, security, automation, and performance. dispatches from someone building inside high-pressure systems.",
https://www.ericgrill.com/blog?topic=blockchain,Field Notes | Eric Grill,12,0.019460622811415872,n/a,2,200,0.024,0,0,1,1,0,Canonical to other page,0,3,5,4,0,-,-,12,165,4,"live experiments in code, security, automation, and performance. dispatches from someone building inside high-pressure systems.",
https://www.ericgrill.com/blog?topic=programming,Field Notes | Eric Grill,24,0.024960960986640836,n/a,2,200,0.016,0,0,1,1,0,Canonical to other page,0,8,5,4,0,-,-,12,165,4,"live experiments in code, security, automation, and performance. dispatches from someone building inside high-pressure systems.",
https://www.ericgrill.com/contact,Contact | Eric Grill,88,0.06064018998987432,n/a,1,200,0.082,0,0,1,1,0,Canonical to other page,0,17,5,4,0,-,-,9,148,3,"get in touch with eric grill. connect via linkedin, x (twitter), or github for professional inquiries, collaboration, or just to say hello.",
https://www.ericgrill.com/llms.txt,,-,-,n/a,0,404,0.061,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,1,-,
https://www.ericgrill.com/now,Now | Eric Grill,76,0.06059943591757171,n/a,1,200,0.047,0,0,1,1,0,Canonical to other page,0,17,10,7,0,-,-,9,148,2,"what i'm currently building, training for, and working on. living proof of the work.",
https://www.ericgrill.com/robots.txt,,-,-,n/a,0,200,0.088,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,0,-,n/a
https://www.ericgrill.com/sitemap.xml,,-,-,n/a,0,200,0.095,0,0,0,0,0,-,0,0,-,-,0,-,-,-,-,33,-,
